customer_id,first_name,last_name,email,signup_date,region_id,acquisition_channel
1,Name1,Surname1,user1@example.com,2023-04-13,7,Google Ads
2,Name2,Surname2,user2@example.com,2024-03-11,4,Email
3,Name3,Surname3,user3@example.com,2023-12-15,7,Facebook
4,Name4,Surname4,user4@example.com,2023-09-28,3,Organic
5,Name5,Surname5,user5@example.com,2023-04-17,6,Email
6,Name6,Surname6,user6@example.com,2023-03-13,2,Google Ads
7,Name7,Surname7,user7@example.com,2023-07-08,10,Facebook
8,Name8,Surname8,user8@example.com,2023-01-21,9,Email
9,Name9,Surname9,user9@example.com,2023-04-13,5,Facebook
10,Name10,Surname10,user10@example.com,2023-05-02,6,Email
11,Name11,Surname11,user11@example.com,2024-04-11,4,Facebook
12,Name12,Surname12,user12@example.com,2023-08-03,10,Google Ads
13,Name13,Surname13,user13@example.com,2023-11-27,7,Organic
14,Name14,Surname14,user14@example.com,2024-04-03,9,Google Ads
15,Name15,Surname15,user15@example.com,2023-03-29,7,Organic
16,Name16,Surname16,user16@example.com,2024-01-08,1,Facebook
17,Name17,Surname17,user17@example.com,2023-04-10,1,Email
18,Name18,Surname18,user18@example.com,2023-12-26,9,Google Ads
19,Name19,Surname19,user19@example.com,2023-06-01,9,Organic
20,Name20,Surname20,user20@example.com,2023-05-11,4,Google Ads
21,Name21,Surname21,user21@example.com,2023-05-30,9,Organic
22,Name22,Surname22,user22@example.com,2023-11-05,3,Google Ads
23,Name23,Surname23,user23@example.com,2023-09-15,7,Organic
24,Name24,Surname24,user24@example.com,2023-12-10,6,Organic
25,Name25,Surname25,user25@example.com,2024-05-06,8,Facebook
26,Name26,Surname26,user26@example.com,2024-02-18,9,Organic
27,Name27,Surname27,user27@example.com,2023-10-21,5,Facebook
28,Name28,Surname28,user28@example.com,2024-01-21,1,Organic
29,Name29,Surname29,user29@example.com,2023-07-11,3,Email
30,Name30,Surname30,user30@example.com,2024-03-19,10,Email
31,Name31,Surname31,user31@example.com,2023-10-04,8,Email
32,Name32,Surname32,user32@example.com,2023-06-10,6,Organic
33,Name33,Surname33,user33@example.com,2024-04-04,8,Facebook
34,Name34,Surname34,user34@example.com,2023-11-10,9,Facebook
35,Name35,Surname35,user35@example.com,2023-01-22,4,Organic
36,Name36,Surname36,user36@example.com,2023-09-10,1,Email
37,Name37,Surname37,user37@example.com,2023-08-24,1,Email
38,Name38,Surname38,user38@example.com,2023-12-11,10,Facebook
39,Name39,Surname39,user39@example.com,2023-02-18,4,Email
40,Name40,Surname40,user40@example.com,2024-04-19,7,Google Ads
41,Name41,Surname41,user41@example.com,2023-02-28,2,Facebook
42,Name42,Surname42,user42@example.com,2023-06-19,3,Email
43,Name43,Surname43,user43@example.com,2024-04-20,1,Facebook
44,Name44,Surname44,user44@example.com,2023-07-07,5,Google Ads
45,Name45,Surname45,user45@example.com,2024-04-08,1,Facebook
46,Name46,Surname46,user46@example.com,2023-09-28,8,Facebook
47,Name47,Surname47,user47@example.com,2023-07-09,1,Facebook
